country,year,dalys_rate
Spain,2000,611.8328165055052
Germany,2000,629.0264162520714
Czechia,2000,526.9965373086787
Sweden,2000,629.3471031168542
Poland,2000,411.6160238709976
Ukraine,2000,765.8456550149003
Ukraine,2001,771.1315917548856
Germany,2001,626.8922567404982
Spain,2001,610.3598404642457
Italy,2000,373.98421002241656
Denmark,2000,504.6144907134537
Czechia,2001,555.0377177316182
Sweden,2001,638.3124286010329
Ukraine,2002,806.4574454399107
Norway,2000,461.9587509423548
Spain,2002,609.2763156675447
Germany,2002,634.7889389001992
Poland,2001,412.0448691110694
Denmark,2002,518.8377482492996
Czechia,2002,533.0559095928181
Denmark,2001,517.8904566722183
Poland,2002,414.1535291223976
Spain,2003,613.4873611789332
Sweden,2002,644.6351106859122
Ukraine,2004,787.2426485608212
Italy,2001,374.5117705454819
Ukraine,2003,767.6917447705209
Germany,2003,635.7672306404559
Norway,2002,468.0640112501287
Spain,2004,622.2071919574822
Germany,2004,641.8818087644343
Norway,2001,470.6666342554966
Ukraine,2005,838.8908429861227
Denmark,2003,532.0918924280949
Czechia,2003,533.6468240766178
Germany,2005,647.1866760246508
Italy,2002,373.3069464294233
Spain,2005,616.2804034794237
Poland,2003,416.1807983629352
Ukraine,2006,826.8233402179397
Sweden,2003,633.9899578132967
Denmark,2004,509.3759142059636
Spain,2006,617.4349975245236
Germany,2006,652.7334619988106
Norway,2003,468.8214785559465
Czechia,2004,558.5397192501595
Poland,2004,439.2399391991629
Poland,2005,419.0735643811634
Sweden,2004,639.6362147418268
Ukraine,2007,849.7134424508647
Italy,2003,389.0355330703314
Norway,2004,470.48320008985735
Denmark,2005,548.5761253692003
Czechia,2005,524.458363999391
Italy,2004,373.322125311676
Germany,2007,658.289740289658
Spain,2007,604.766489603615
Italy,2005,382.0831689241006
Poland,2006,431.02418371982327
Sweden,2005,680.7887177208862
Denmark,2006,525.0601983316415
Norway,2005,470.095392463875
Czechia,2006,535.9376335083282
Spain,2008,615.9923958572122
Sweden,2006,678.9497721558369
Germany,2008,668.901961211153
Italy,2006,379.0002899528388
Poland,2007,432.55881121229766
Norway,2006,471.9277463027082
Denmark,2007,556.4774784087293
Czechia,2007,535.7032027719806
Ukraine,2008,872.6360164516528
Czechia,2008,523.9352056852216
Germany,2009,673.4827874196502
Spain,2009,608.7444645499585
Italy,2007,370.9157780871694
Sweden,2007,702.2690000285397
Ukraine,2009,869.9469732641388
Poland,2008,431.7050982431161
Sweden,2008,686.3642265871288
Norway,2007,475.628192458032
Denmark,2008,564.5167648215712
Germany,2010,683.0502177104723
Czechia,2009,522.8935837442796
Sweden,2009,686.6141719162675
Italy,2008,381.190575397367
Poland,2009,422.6006248925938
Spain,2010,608.5123569673816
Denmark,2009,564.1905661701269
Denmark,2010,554.2776983220563
Ukraine,2010,867.9425901424927
Norway,2008,479.1636762946495
Spain,2011,597.8725462441021
Czechia,2010,522.0454086193785
Sweden,2010,705.0122086584148
Germany,2011,690.3531670572154
Ukraine,2011,866.2517137659668
Poland,2010,428.3193289241276
Italy,2009,366.9242918041565
Norway,2009,483.3995475252007
Denmark,2011,590.1336924082962
Czechia,2011,521.5369308384276
Norway,2010,494.8256018067728
Poland,2011,448.9115056571263
Ukraine,2012,865.3933129493423
Sweden,2011,657.5382862835315
Poland,2013,436.058900527596
Ukraine,2013,848.5149398340658
Italy,2010,389.6286377467365
Norway,2011,500.0835071807447
Denmark,2013,549.7030665419554
Germany,2012,692.0927617510313
Spain,2012,600.0958314602268
Denmark,2012,545.4921251134074
Germany,2013,697.0630815999219
Czechia,2013,544.011478538879
Spain,2013,590.3375070922094
Italy,2011,385.800502421942
Czechia,2012,520.752096787611
Sweden,2012,709.1561430599523
Ukraine,2014,886.8027980219989
Poland,2012,424.45168452957927
Germany,2014,701.7884867428487
Poland,2014,437.5736924484011
Spain,2014,583.4052050526884
Norway,2012,492.7984747715264
Denmark,2014,555.2951187273311
