TOTAL REVENUE,2023,2022,Growth,Growth (CER)
Rexulti®/Rxulti®,"4,525","3,890",16%,20%
Brintellix®/Trintellix®,"4,324","4,277",1%,5%
Abilify Maintena®/Asimtufii,"3,187","2,964",8%,10%
Vyepti®,"1,697","1,004",69%,74%
Strategic brands,"13,733","12,135",13%,16%
Cipralex®/Lexapro®,"2,135","2,360",(10%),(4%)
Sabril®,336,636,(47%),(47%)
Other pharmaceuticals,"3,244","3,426",(5%),(2%)
Mature brands,"5,715","6,422",(11%),(7%)
Other revenue,327,277,18%,18%
Total revenue before hedging,"19,775","18,834",5%,8%
Effects from hedging,137,(588),,
Total revenue,"19,912","18,246",9%,8%
