country,year,ppp_sales
Spain,2019,702.9
Spain,2020,724.5
Spain,2021,788.7
Spain,2022,850.7
Spain,2023,863.8
Denmark,2000,251.4
Denmark,2001,270.3
Denmark,2002,303.1
Denmark,2003,315.7
Denmark,2004,341.5
Denmark,2005,354.0
Denmark,2006,390.1
Denmark,2007,428.2
Denmark,2008,461.8
Denmark,2009,485.3
Denmark,2010,502.7
Denmark,2011,493.8
Denmark,2012,483.7
Denmark,2013,494.5
Denmark,2014,517.9
Denmark,2015,527.5
Denmark,2016,545.2
Denmark,2017,579.1
Denmark,2018,607.2
Denmark,2019,645.8
Denmark,2020,682.0
Denmark,2021,693.7
Italy,2011,428.5
Italy,2012,423.9
Italy,2013,437.3
Italy,2014,445.8
Italy,2015,508.4
Italy,2016,540.9
Italy,2017,546.4
Italy,2018,545.7
Italy,2019,591.3
Italy,2020,616.0
Italy,2021,644.7
Italy,2022,703.7
Italy,2023,711.7
Sweden,2000,262.0
Sweden,2001,278.4
Sweden,2002,306.3
Sweden,2003,318.8
Sweden,2004,339.8
Sweden,2005,343.1
Sweden,2006,373.2
Sweden,2007,404.4
Sweden,2008,426.7
Sweden,2009,427.7
Sweden,2010,426.0
Sweden,2011,440.1
Sweden,2012,438.4
Sweden,2013,440.2
Sweden,2014,446.8
Sweden,2015,467.6
Sweden,2016,483.7
Sweden,2017,490.9
Sweden,2018,530.3
Sweden,2019,572.6
Sweden,2020,600.4
Sweden,2021,618.4
Sweden,2022,654.5
Sweden,2023,692.6
Sweden,2024,745.8
Norway,2000,276.1
Norway,2001,300.6
Norway,2002,340.3
Norway,2003,344.4
Norway,2004,371.2
Norway,2005,386.2
Norway,2006,403.1
Norway,2007,407.1
Norway,2008,408.9
Norway,2009,409.6
Norway,2010,399.8
Norway,2011,403.9
Norway,2012,414.5
Norway,2013,420.0
Norway,2014,442.2
Norway,2015,441.8
Norway,2016,471.1
Norway,2017,518.0
Norway,2018,540.1
Norway,2019,560.1
Norway,2020,575.9
Norway,2021,690.6
Norway,2022,773.5
Norway,2023,744.5
Norway,2024,833.1
Czechia,2000,261.2
Czechia,2001,302.3
Czechia,2002,325.8
Czechia,2003,361.3
Czechia,2004,387.4
Czechia,2005,436.3
Czechia,2006,399.6
Czechia,2007,457.4
Czechia,2008,498.4
Czechia,2009,561.8
Czechia,2010,568.8
Czechia,2011,577.8
Czechia,2012,599.2
Czechia,2013,593.0
Czechia,2014,606.4
Czechia,2015,619.1
Czechia,2016,656.7
Czechia,2017,699.0
Czechia,2018,745.1
Czechia,2019,800.9
Czechia,2021,704.7
Czechia,2022,770.6
Czechia,2023,829.9
Denmark,2022,714.4
Denmark,2023,766.2
Denmark,2024,793.0
Poland,2019,206.8
Poland,2022,220.4
Poland,2024,242.0
Poland,2021,213.2
Poland,2020,210.7
Poland,2023,217.6
Spain,2004,300.7
Spain,2005,308.6
Spain,2006,339.2
Spain,2007,347.8
Spain,2008,373.7
Spain,2009,393.0
Spain,2010,390.9
Spain,2011,370.2
Spain,2012,340.6
Spain,2013,339.3
Spain,2015,369.6
Spain,2016,396.3
Spain,2017,410.7
Germany,2000,249.3
Germany,2001,278.2
Germany,2002,301.2
Germany,2003,326.2
Germany,2005,327.4
Germany,2006,339.3
Germany,2007,367.5
Germany,2008,396.0
Germany,2009,429.0
Germany,2010,451.4
Germany,2011,469.3
Germany,2012,480.8
Germany,2013,504.5
Germany,2014,539.0
Germany,2015,556.3
Germany,2016,582.8
Germany,2017,604.1
Germany,2019,785.6
Germany,2020,836.2
Germany,2021,906.5
Germany,2022,964.9
Germany,2023,971.8
Spain,2018,642.6
Czechia,2020,675.3
Italy,2024,752.5
Spain,2024,898.8
Spain,2014,367.3
Germany,2004,300.1
Germany,2018,725.4
